NAME,BRAND,UNIT,CATEGORY,SUB-CATEGORY,SKU (Leave blank to auto generate sku),BARCODE TYPE,MANAGE STOCK (1=yes 0=No),ALERT QUANTITY,EXPIRES IN,EXPIRY PERIOD UNIT (months/days),APPLICABLE TAX,Selling Price Tax Type (inclusive or exclusive),PRODUCT TYPE (single or variable),VARIATION NAME (Keep blank if product type is single),VARIATION VALUES (| seperated values & blank if product type if single),PURCHASE PRICE (Including tax),PURCHASE PRICE (Excluding tax),PROFIT MARGIN,SELLING PRICE,OPENING STOCK,LOCATION,EXPIRY DATE,ENABLE IMEI OR SERIAL NUMBER(1=yes 0=No),WEIGHT,RACK,ROW,POSITION,IMAGE,PRODUCT DESCRIPTION,CUSTOM FIELD 1,CUSTOM FIELD 2,CUSTOM FIELD 3,CUSTOM FIELD 4,NOT FOR SELLING(1=yes 0=No)
Lốp Michelin 205/55R16,Michelin,Cái,Lốp xe,Lốp du lịch,LOP-001,,1,4,,,VAT 10%,exclusive,single,,,,1850000,20,2220000,,,,0,8,,,,,,,,,,0
Dầu nhớt Castrol GTX 4L,Castrol,Chai,Dầu nhớt,,DAU-001,,1,10,,,VAT 10%,exclusive,single,,,,420000,25,525000,,,,0,4,,,,,,,,,,0
Ắc quy GS 12V-45Ah,GS,Thùng,Ắc quy,,ACQ-001,,1,3,,,VAT 10%,exclusive,single,,,,1250000,18,1475000,,,,0,12,,,,,,,,,,0
Nước rửa kính 1L,Sonax,Chai,Phụ liệu,,PHU-001,,1,6,,,VAT 10%,exclusive,single,,,,85000,30,110500,,,,0,1,,,,,,,,,,0
Cần gạt mưa 20 inch,Bosch,Cái,Phụ tùng,,PHU-002,,Có,5,,,VAT 10%,exclusive,single,,,,145000,25,181250,,,,0,0.5,,,,,,,,,,0
Lốp Bridgestone 195/65R15,Bridgestone,Cái,Lốp xe,Lốp du lịch,LOP-002,,1,4,,,VAT 10%,exclusive,single,,,,1620000,20,1944000,,,,0,7.5,,,,,,,,,,0
Bugi NGK Iridium,NGK,Cái,Phụ tùng,,BUG-001,,1,20,,,VAT 10%,exclusive,đơn,,,,165000,30,214500,,,,0,0.1,,,,,,,,,,0
Lọc gió động cơ,Denso,Cái,Phụ tùng,,LOC-001,,1,8,,,VAT 10%,exclusive,single,,,,230000,25,287500,,,,0,0.3,,,,,,,,,,0
Lọc dầu động cơ,Denso,Cái,Phụ tùng,,LOP-001,,1,8,,,VAT 10%,exclusive,single,,,,180000,25,225000,,,,0,0.2,,,,,,,,,,0
Đèn pha LED H4,Philips,Cái,Điện,,DEN-001,,1,5,,,VAT 10%,exclusive,single,,,,890000,22,1085800,,,,0,0.4,,,,,,,,,,0
Má phanh trước Toyota Vios,Advics,Bộ,Phụ tùng,Phanh,PHA-001,,1,4,,,VAT 10%,exclusive,single,,,,,,25,,,,,0,1.2,,,,,,,,,,0
Nước làm mát 4L,Comma,Can,Phụ liệu,,PHU-003,,1,6,,,VAT 10%,exclusive,single,,,,195000,28,249600,,,,0,4,,,,,,,,,,0
